brand,category,color,description,image_path_1,image_path_2,name,price,product_code,sub_category
TOPEAK,warsztat-rowerowy,czarny,"Poszukujesz stojaka do przechowywania i serwisu? TwoUp TuneUp Bike Stand marki Topeak spełni te funkcje znakomicie. Urządzenie wykonane z rur aluminiowych 6061 T6 jest na tyle stabilne, że pozwala na zawieszenie do 4 sztuk rowerów. Możliwe jest to dzięki wyciąganemu centralnemu filarowi, który osiąga do 214 cm. Stabilną pozycję zapewnia zbudowana z trzech elementów podstawa, osiągająca po rozłożeniu średnicę 90 cm. Do regulacji wysięgu i rozstawienia nóg statywu służą wygodne szybkozamykacze. Same uchwyty zaś są przykręcane śrubą dla większej kontroli docisku na elemencie centralnym. Znajdujące się w zestawie dwa wieszaki mają możliwość regulacji w zakresie 30 stopni. Opcjonalnie można dokupić kolejną parę uchwytów. Niewielka masa statywu wynosząca 5,5 kg sprawia, że z powodzeniem może on być również wykorzystywany do serwisowania rowerów. Dodatkową zaletą jest w tym przypadku także element służący do stabilizacji kierownicy. Za ochronę ramy przed zarysowaniem odpowiadają gumowe elementy umieszczone na hakach.Stojak nadaje się do przechowywania maksymalnie czterech rowerów, których łączna waga może osiągnąć nawet 72 kg, co jest bardzo dobrym wynikiem, biorąc pod uwagę jego własny ciężar. Na każde mocowanie przypada maksymalne obciążenie 18 kg.Najważniejsze informacje:Dzięki wieloletniemu doświadczeniu niemieckiej firmy Topeak zdobytemu w branży akcesoriów rowerowych możesz być pewien trwałości i jakości oferowanego przez nią urządzenia.Zastosowanie stojaka można zobaczyć na załączonym materiale filmowym.",/photo/product/topeak-twoup-tuneup-2-195627-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\topeak-twoup-tuneup-2-195627-f-sk7-w780-h554_2.png,Stojak na rower TOPEAK TwoUp TuneUp, 899.99,DD195627,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czarny,"Stojak serwisowy, który idealnie sprawdzi się zarówno w profesjonalnym serwisie jak i w przydomowym warsztacie.  Trójnożna podstawa gwarantuje stabilność stojaka, a udźwig do 29,5 kg pozwala na serwisowanie każdego typu roweru (z rowerami elektrycznymi włącznie).",/photo/product/feedback-sport-mechanic-2-99788-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\feedback-sport-mechanic-2-99788-f-sk7-w780-h554_2.png,Stojak serwisowy FEEDBACK Sport-Mechanic, 889.99,DD99788,stojaki-serwisowe-na-rower
PARK TOOL,warsztat-rowerowy,niebieski,Składany stojak montażowy PCS-4-1 od Park Tool pozwala na wygodne ustawienie roweru. Ramię wykonane z duraluminium obraca się o 360 stopni.,/photo/product/park-tool-pcs-4-1-2-4614-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\park-tool-pcs-4-1-2-4614-f-sk7-w780-h554_2.png,Stojak serwisowy PARK TOOL PCS-4-1,1 799.99,DD4614,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czerwony,"Aby sprawnie i wygodnie przeprowadzić serwis roweru niezbędny jest odpowiedni stojak. Feedback Sports Pro Mechanic to następca cieszącego się dobrą reputacją modelu Pro Elite. W nowej odsłonie konstrukcję poddano dodatkowym ulepszeniom, dzięki czemu jeszcze lepiej sprawdzi się zarówno w warsztacie domowym, jak i komercyjnym. Amerykański producent zadbał, aby sprzęt był nie tylko łatwy w użytkowaniu, ale również w przechowywaniu i transporcie. Stosunkowo lekka masa (ok. 5,7 kg) sprawi, że bez przewieziesz go w dowolne miejsce.Najważniejsze cechy Zacisk wyposażony został w specjalny mechanizm zapadkowy z mikroregulacją, pozwalając na dokładne dopasowanie siły trzymania do ramy, zapobiegając jej uszkodzeniu. Ma również wygodne w obsłudze pokrętło. Dzięki niemu zamocowanie roweru i jego zwolnienie może odbywać się przy udziale jednej ręki.Projektanci zadbali o jak najwyższy komfort użytkowania. Dlatego głowica obraca się o 360°, co oznacza, że można obracać ją wokół jej własnej osi. Pozwoli Ci to zmieniać pozycję roweru, dostosowując ją do swoich preferencji. Uchwyt na rower można złożyć, dzięki czemu łatwiej jest przenosić i przechowywać stojak.Stojak utrzymujący rower w czasie czynności serwisowych powinien być trwały. Dlatego Feedback Sport Pro Mechanic powstał z solidnego, anodowanego stopu aluminium 6061 T6. Dzięki temu jest niezwykle lekki, bardzo wytrzymały oraz odporny na korozję. Wyposażono go też w mocne, metalowe złącza i praktyczne szybkozamykacze.Podstawa stojaka składa się z trzech, mocnych ramion. Każde z nich wykończono gumową zaślepką, co zapobiega ślizganiu się i przesuwaniu po podłodze. Taka konstrukcja przekłada się na doskonałą stabilność i pozwala na przeprowadzanie precyzyjnych prac serwisowych. Warto zaznaczyć, że podstawę można łatwo złożyć, co ułatwi transport stojaka.Marka+Feedback SportsFeedback Sports to renomowana marka produkująca wysokiej jakości \r\nnarzędzia i akcesoria rowerowe. Jest ona ceniona ze względu na innowacyjne i funkcjonalne produkty przydające się amatorom, zawodowcom oraz mechanikom rowerowym. Dba ona o trwałość swoich wyrobów, stosuje wysokiej jakości materiały, co przekłada się na ich długotrwałe i niezawodne działanie.",/photo/product/feedback-pro-mechanic-2-203500-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\feedback-pro-mechanic-2-203500-f-sk7-w780-h554_2.png,Stojak serwisowy FEEDBACK Pro Mechanic,1 899.99,DD203500,stojaki-serwisowe-na-rower
PARK TOOL,warsztat-rowerowy,czarny,Profesjonalny stojak montażowy PRS-25 od Park Tool wyposażony jest w ramię obracające się o 360 stopni. Stabilna i jednocześnie lekka konstrukcja.,/photo/product/park-tool-prs-25-2-118812-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\park-tool-prs-25-2-118812-f-sk7-w780-h554_2.png,Stojak serwisowy PARK TOOL PRS-25,1 999.99,DD118812,stojaki-serwisowe-na-rower
PARK TOOL,warsztat-rowerowy,niebieski,"Serwisujesz swój jednoślad? Chcesz komfortowo i precyzyjnie dotrzeć do trudno dostępnych miejsc? Stojak montażowy PARK TOOL PCS-9.3 pozwoli Ci na przyjemną i sprawną konserwację swojego roweru. Z jego pomocą możesz np. zamontować nowe części.Konstrukcja stojaka gwarantuje stabilność oraz bezpieczeństwo Twojego jednośladu. Do dyspozycji masz rurę teleskopową, dlatego dostosujesz wysokość mocowania do swoich potrzeb. Maksymalne obciążenie to 36 kilogramy.Niezależnie od tego, jaki rower posiadasz, Park Tool PCS-9.3 jest wszechstronny i uniwersalny. Po rozłożeniu zablokujesz nóżki, dlatego cała konstrukcja jest solidna. Bez problemu poradzisz sobie z mocowaniem roweru. Możesz zacisnąć sztycę lub ramę w obrotowej szczęce. Po zakończeniu prac montażowych i konserwacyjnych z łatwością złożysz stojak, a następnie przechowasz go w piwnicy czy też garażu. Tak prosta i niewielka konstrukcja sprawdza się również podczas transportu autem.",/photo/product/park-tool-pcs-9-3-2-181589-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\park-tool-pcs-9-3-2-181589-f-sk7-w780-h554_2.png,Stojak serwisowy PARK TOOL PCS-9.3, 999.99,DD181589,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czerwony,,/photo/product/feedback-sprint-2-203799-f-sk7-w780-h554_1.png,,Adaptery FEEDBACK Sprint, 129.99,DD203799,stojaki-serwisowe-na-rower
PARK TOOL,warsztat-rowerowy,niebieski,\r\nSkładany stojak montażowy PCS-4-2 od Park Tool pozwala na wygodne ustawienie roweru. Możliwość regulacji wysokości urządzenia. \r\n\r\n,/photo/product/park-tool-pcs-4-2-2-99020-f-sk7-w780-h554_1.png,,Stojak serwisowy PARK TOOL PCS-4-2,1 899.99,DD99020,stojaki-serwisowe-na-rower
FEEDBACK,warsztat-rowerowy,czerwony,,/photo/product/feedback-sprint-2-99805-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\feedback-sprint-2-99805-f-sk7-w780-h554_2.png,Stojak serwisowy FEEDBACK Sprint,1 299.99,DD99805,stojaki-serwisowe-na-rower
EYEN,warsztat-rowerowy,czarny,"Poszukujesz sposobu na wygodne przewiezienie najbardziej podstawowych narzędzi rowerowych? W takim razie narzędziownik Eyen Hexy S Mini powinien przypaść Ci do gustu. To bardzo wygodne w użyciu akcesorium, które pozwoli Ci na szybką regulację lub dokonanie drobnych napraw w Twoim jednośladzie. Czasem jedna śrubka może skutecznie uprzykrzyć, a nawet uniemożliwić jazdę, dlatego dobrze mieć przy sobie odpowiednie instrumenty do jej dokręcenia.Model wyróżnia się niewielkim rozmiarem, dzięki czemu bez żadnych problemów przewieziesz go w kieszeni lub plecaku. Posiada on również specjalne kółko, pozwalające zawiesić go jak brelok, np. przy kluczach. Korpus konstrukcji powstał z solidnej stali, co sprawia, że cechuje się dużą odpornością na uszkodzenia mechaniczne.Eyen Hexy S Mini wyposażono w następujące narzędzia:Obsługa przyrządu jest całkowicie bezproblemowa, a dostęp do poszczególnych kluczy łatwy i wygodny, co znacznie usprawni proces naprawy usterek w rowerze.",/photo/product/eyen-hexy-s-mini-2-161986-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\eyen-hexy-s-mini-2-161986-f-sk7-w780-h554_2.png,Multitool EYEN Hexy S Mini,22.99,DD161986,narzedzia-rowerowe
BIKE HAND,warsztat-rowerowy,czarny,,/photo/product/bike-hand-yc-152-2-115589-f-sk7-w780-h554_1.png,,Klucz do piast BIKE HAND YC-152,25.99,DD115589,narzedzia-rowerowe
FEEDBACK,warsztat-rowerowy,czerwony,Niezwykle lekki i stabilny stojak serwisowy marki Feedback. Regulowana wysokość wraz z obrotową głowicą zdecydowanie podniosą komfort Twojej pracy. Z kolei maksymalny udźwig do 38 kg pozwoli na serwisowanie nawet ciężkich rowerów elektrycznych.,/photo/product/feedback-ultralight-2-99786-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\feedback-ultralight-2-99786-f-sk7-w780-h554_2.png,Stojak serwisowy FEEDBACK Ultralight,1 389.99,DD99786,stojaki-serwisowe-na-rower
BIKE HAND,warsztat-rowerowy,czarny-szary,,/photo/product/bike-hand-yc-329-2-55030-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\bike-hand-yc-329-2-55030-f-sk7-w780-h554_2.png,Skuwacz do łańcucha BIKE HAND YC-329,26.99,DD55030,narzedzia-rowerowe
BIKE HAND,warsztat-rowerowy,czarny,"\r\nBike Hand YC-335ST to klucz do łańcucha z rączką w kształcie łyżek do opon. Dzięki temu narzędzie nadaje się zarówno do otwierania, jak i zamykania spinek oraz wymiany ogumienia.  \r\n",/photo/product/bike-hand-yc-335st-2-126256-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\bike-hand-yc-335st-2-126256-f-sk7-w780-h554_2.png,Szczypce do rozpinania spinek łańcucha BIKE HAND YC-335ST,32.99,DD126256,narzedzia-rowerowe
BIKE HAND,warsztat-rowerowy,czarny,"Klucz Bike Hand YC-121A wykonany został z utwardzonej stali chromowo-molibdenowej. Jest narzędziem przystosowanym do wolnobiegu Shimano. Model cechuje się dużą wytrzymałością, dzięki czemu dobrze będzie się sprawdzał przez wiele lat. ",/photo/product/bike-hand-yc-121a-2-7247-f-sk7-w780-h554_1.png,,Klucz do wolnobiegu BIKE HAND YC-121A,24.99,DD7247,narzedzia-rowerowe
TOPEAK,warsztat-rowerowy,czarny,\r\nStojak warsztatowy do rowerów ze stabilną statywową podstawą z szybkozamykaczem. Składany do małych rozmiarów do przechowywania lub transportu. \r\n,/photo/product/topeak-prepstand-elite-2-196942-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\topeak-prepstand-elite-2-196942-f-sk7-w780-h554_2.png,Stojak serwisowy TOPEAK PrepStand Elite,1 249.99,DD196942,stojaki-serwisowe-na-rower
BIKE HAND,warsztat-rowerowy,szary,,/photo/product/bike-hand-shimano-yc-26bb-1a-2-57452-f-sk7-w780-h554_1.png,,Klucz do suportu BIKE HAND Shimano YC-26BB-1A,29.99,DD57452,narzedzia-rowerowe
PARK TOOL,warsztat-rowerowy,niebieski,,/photo/product/park-tool-tl-4-2-2-81368-f-sk7-w780-h554_1.png,,Łyżki do opon PARK TOOL TL-4.2,23.99,DD81368,narzedzia-rowerowe
FEEDBACK,warsztat-rowerowy,czarny,"FEEDBACK Recreational to prosty, kompaktowy stojak serwisowy, który idealnie sprawdzi się w przydomowym warsztacie, czy też w niewielkim serwisie.",/photo/product/feedback-recreational-2-203744-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\feedback-recreational-2-203744-f-sk7-w780-h554_2.png,Stojak serwisowy FEEDBACK Recreational, 969.99,DD203744,stojaki-serwisowe-na-rower
KELLYS,warsztat-rowerowy,szary,"Kompaktowy multiklucz o bardzo małych wymiarach, klucze imbusowe wykonane z wysokiej jakości stali chromowo-wanadowej (CR-V)",/photo/product/kellys-stinger-10-2-63433-f-sk7-w780-h554_1.png,,Multitool KELLYS Stinger 10,37.99,DD63433,narzedzia-rowerowe
UNIOR,warsztat-rowerowy,niebieski-srebrny,"Narzędziownik Euro 6 marki UNIOR to niezwykle wszechstronny produkt, przy pomocy którego naprawisz drobną usterkę, by dalej ruszyć w trasę. Klucze i wkrętaki zostały zaprojektowane i stworzone przy wykorzystaniu wysokiej jakości materiału – to gwarancja długiej żywotności. Potwierdza to certyfikat jakości ISO9001. Ponadto ergonomiczny kształt chromowanych narzędzi umożliwia bezpieczną pracę. Dodatkowo oksydowane końcówki zapewniają zwiększoną trwałość.W zestawie znajdują się:",/photo/product/unior-euro-6-2-149088-f-sk7-w780-h554_1.png,,Multitool UNIOR Euro 6,29.99,DD149088,narzedzia-rowerowe
BIKE HAND,warsztat-rowerowy,czarny,,/photo/product/bike-hand-yc-335-2-37401-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\bike-hand-yc-335-2-37401-f-sk7-w780-h554_2.png,Szczypce do rozpinania spinek łańcucha BIKE HAND YC-335,39.99,DD37401,narzedzia-rowerowe
EYEN,warsztat-rowerowy,czarny,"Klucz 2w1 Solid I przydaje się do odkręcania oraz przykręcania mechanizmów korbowych. Służą do tego dwie końcówki: imbusowa w rozmiarze 8 mm i nasadowa – 14 mm. Długie ramię narzędzia wraz z wygodną rączką zapobiega wrzynaniu się podczas pracy, co przykłada się na wysoki komfort.Kluczowe informacje:Marka+EYENPolska marka specjalizująca się w produkcji odzieży, akcesoriów oraz części rowerowych, przeznaczonych zarówno dla osób jeżdżących rekreacyjnie, jak i entuzjastów kolarstwa.",/photo/product/eyen-solid-i-2-197768-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\eyen-solid-i-2-197768-f-sk7-w780-h554_2.png,Klucz do korb EYEN Solid I,34.99,DD197768,narzedzia-rowerowe
EYEN,warsztat-rowerowy,czarny,"Narzędziownik Eyen Hexy A8 to przydatne akcesorium, które umożliwia wykonywanie samodzielnie drobnych napraw przy rowerze. Jest ono niezastąpione zwłaszcza w trakcie podróży, gdyż ten niewielkich rozmiarów produkt zastępuje nam wiele sztuk narzędzi. Nie trzeba więc obciążać swojego bagażu, lecz zapakować do niego jedynie wielofunkcyjny multitool Eyen Hexy 8, aby sięgać po niego w razie potrzeby. Z jego pomocą możemy samodzielnie uporać się z podstawowymi, rowerowymi awariami, co umożliwiają nam liczne końcówki. Znajdziemy tam:Do wykonania korpusu narzędziownika Eyen Hexy A8 producent zastosował aluminium – tworzywo o doskonałym kompromisie masy do wytrzymałości. W ten oto sposób do rąk rowerzystów trafia bardzo dobrej jakości produkt, zapewniający długotrwałą żywotność.  ",/photo/product/eyen-hexy-a8-2-161976-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\eyen-hexy-a8-2-161976-f-sk7-w780-h554_2.png,Multitool EYEN Hexy A8,32.99,DD161976,narzedzia-rowerowe
EYEN,warsztat-rowerowy,czarny,"Eyen Solid B to specjalny klucz typu „bacik” przeznaczony do kaset rowerowych o liczbie zębatek od 7 do 12. Pozwoli Ci szybko i wygodnie wymienić kasetę na nową lub zdemontować obecnie używaną jedynie na czas czyszczenia i zabiegów konserwacyjnych. Produkt powstał z wytrzymałej stali narzędziowej, dzięki czemu dobrze zniesie intensywne użytkowanie. Łańcuch rowerowy zlokalizowany przy części szczytowej pozwala zablokować kasetę tak, aby nie obracała się w trakcie odkręcania jej drugim kluczem. Rączkę zabezpieczono antypoślizgowym materiałem, a jej ergonomiczny kształt gwarantuje dużą wygodę użytkowania.Marka+EYENPolska marka specjalizująca się w produkcji odzieży, akcesoriów oraz części rowerowych, przeznaczonych zarówno dla osób jeżdżących rekreacyjnie, jak i entuzjastów kolarstwa.",/photo/product/eyen-solid-b-2-197770-f-sk7-w780-h554_1.png,C:\Users\predator\Desktop\BE_Project-master\ScrapResults\images\eyen-solid-b-2-197770-f-sk7-w780-h554_2.png,Bacik do kaset EYEN Solid B,39.99,DD197770,narzedzia-rowerowe
KELLYS,warsztat-rowerowy,limonkowy,"Kompaktowy multiklucz o bardzo małych wymiarach, klucze imbusowe wykonane z wysokiej jakości stali chromowo-wanadowej (CR-V)",/photo/product/kellys-stinger-10-2-63434-f-sk7-w780-h554_1.png,,Multitool KELLYS Stinger 10,37.99,DD63434,narzedzia-rowerowe
PARK TOOL,warsztat-rowerowy,srebrny,"Wysokiej jakości klucz przeznaczony do kontrowania piast. Idealny zarówno dla mechaników jak i do amatorskiego, okazjonalnego użytku.Firma Park Tool powstała w roku 1963 w ST. Paul w Stanach Zjednoczonych po tym jak dwoje zdolnych mechaników rowerowych skonstruowało pierwszy profesjonalny stojak rowerowy PRS-1. Obecnie jest największym na świecie producentów narzędzi i przyrządów służących do serwisowania rowerów. W ofercie znajduje się ponad 300 produktów, które są dostępne w ponad 60 krajach.Park Tool podąża za zmianami dokonującymi się w konstrukcjach rowerów modernizując i projektując nowe opatentowane narzędzie wysoko oceniane prze profesjonalnych mechaników jak i hobbystów.",/photo/product/park-tool-dcw-2-4038-f-sk7-w780-h554_1.png,,Klucz do piast PARK TOOL DCW,34.99,DD4038,narzedzia-rowerowe
